control_number,sequence_number,violator_id,status_description,gdate_happened,gdate_paid,original_fine,actual_fine,is_discounted,violation_type_description,vehicle_make,vehicle_model,district,city,region
102253799,9,1228329272,Issued to violator but un-paid,2026-01-28 20:25:59,,150,150,True,عدم ربط حزام,تويوتا,كروزر,الغدير,الرياض,منطقة الرياض
101571189,1,1083589435,Issued to violator but un-paid,2026-01-28 20:19:21,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,تويوتا,راش,السلي,الرياض,منطقة الرياض
102218740,2,2525944317,Issued to violator but un-paid,2026-01-28 19:54:23,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,كروزر,العليا,الرياض,منطقة الرياض
103163980,6,2484858804,Issued to violator but un-paid,2026-01-28 18:51:48,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,جي إم سي,يوكون,العقيق,الرياض,منطقة الرياض
103163980,4,1743649757,Issued to violator but un-paid,2026-01-28 18:10:55,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,هيونداي,أكسنت,السلي,الرياض,منطقة الرياض
101571189,8,2241121561,Issued to violator but un-paid,2026-01-28 18:06:18,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,لكزس,لكزس LX,الياسمين,الرياض,منطقة الرياض
102218740,8,2799652495,Issued to violator but un-paid,2026-01-28 16:49:52,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مازدا,مازدا CX-5,السلي,الرياض,منطقة الرياض
102218740,2,1704119523,Issued to violator but un-paid,2026-01-28 16:48:19,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,لكزس,لكزس LX,النرجس,الرياض,منطقة الرياض
102218740,9,2800207541,Issued to violator but un-paid,2026-01-28 16:45:59,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,جي إم سي,يوكون,الملز,الرياض,منطقة الرياض
102253799,4,1797677082,Issued to violator but un-paid,2026-01-28 15:15:42,,150,150,False,عدم ربط حزام,مازدا,مازدا CX-5,السلي,الرياض,منطقة الرياض
102253799,7,2305350626,Issued to violator but un-paid,2026-01-28 14:56:00,,150,150,False,عدم ربط حزام,جيب,شيروكي,الغدير,الرياض,منطقة الرياض
102218740,9,2578757871,Issued to violator but un-paid,2026-01-28 13:40:22,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,كامري,الغدير,الرياض,منطقة الرياض
100925051,9,1173085514,Issued to violator but un-paid,2026-01-28 13:32:05,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,هيونداي,أكسنت,الملقا,الرياض,منطقة الرياض
102253799,4,2963130586,Issued to violator but un-paid,2026-01-28 13:20:17,,150,150,False,عدم ربط حزام,نيسان,صني,الغدير,الرياض,منطقة الرياض
102253799,8,1222302975,Issued to violator but un-paid,2026-01-28 13:12:41,,150,150,True,عدم ربط حزام,فورد,رينجر,النسيم,الرياض,منطقة الرياض
102253799,7,2343314172,Issued to violator but un-paid,2026-01-28 12:03:36,,150,150,False,عدم ربط حزام,هيونداي,توسان,النسيم,الرياض,منطقة الرياض
101571189,8,1246073386,Issued to violator but un-paid,2026-01-28 10:54:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,شيفروليه,تاهو,النرجس,الرياض,منطقة الرياض
103163980,4,2228436890,Issued to violator but un-paid,2026-01-28 10:07:20,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,كيا,كارينز,العقيق,الرياض,منطقة الرياض
103163980,5,2389658978,Issued to violator but un-paid,2026-01-28 10:03:22,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,كيا,سيراتو,الملقا,الرياض,منطقة الرياض
102253799,7,1455592907,Issued to violator but un-paid,2026-01-28 08:42:17,,150,150,True,عدم ربط حزام,لكزس,لكزس RX,النرجس,الرياض,منطقة الرياض
102218740,1,2808878761,Issued to violator but un-paid,2026-01-28 08:27:46,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,اف جي كروزر,الغدير,الرياض,منطقة الرياض
100925051,7,1563466301,Issued to violator but un-paid,2026-01-28 07:46:30,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,لكزس,لكزس RX,الملز,الرياض,منطقة الرياض
102218740,10,1112103890,Issued to violator but un-paid,2026-01-28 06:52:17,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,اف جي كروزر,الملقا,الرياض,منطقة الرياض
101571189,7,2872339847,Issued to violator but un-paid,2026-01-28 05:49:56,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,هيونداي,كريتا,العقيق,الرياض,منطقة الرياض
102253799,3,1263667225,Issued to violator but un-paid,2026-01-28 02:00:30,,150,150,True,عدم ربط حزام,هيونداي,أكسنت,النرجس,الرياض,منطقة الرياض
101571189,8,2368984657,Issued to violator but un-paid,2026-01-28 00:30:01,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,نيسان,صني,السلي,الرياض,منطقة الرياض
102253799,4,2297178858,Issued to violator but un-paid,2026-01-27 23:37:19,,150,150,True,عدم ربط حزام,بي إم دبليو,بي إم دبليو X5,الملز,الرياض,منطقة الرياض
102253799,5,1237097437,Issued to violator but un-paid,2026-01-27 23:12:29,,150,150,False,عدم ربط حزام,تويوتا,كامري,النسيم,الرياض,منطقة الرياض
101571189,1,1766500175,Issued to violator but un-paid,2026-01-27 22:01:45,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,بي إم دبليو,بي إم دبليو X5,الملز,الرياض,منطقة الرياض
100925051,10,1009612764,Issued to violator but un-paid,2026-01-27 21:47:58,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,ميتسوبيشي,باجيرو,الياسمين,الرياض,منطقة الرياض
102218740,6,1112618705,Issued to violator but un-paid,2026-01-27 21:05:48,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,شيفروليه,كابريس,الغدير,الرياض,منطقة الرياض
102218740,6,2037154909,Issued to violator but un-paid,2026-01-27 19:42:02,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,كيا,سبورتاج,النسيم,الرياض,منطقة الرياض
102253799,9,2708795253,Issued to violator but un-paid,2026-01-27 18:40:16,,150,150,True,عدم ربط حزام,كيا,سبورتاج,الروضة,الرياض,منطقة الرياض
103163980,1,2756419790,Issued to violator but un-paid,2026-01-27 18:17:02,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مازدا,مازدا CX-5,الملز,الرياض,منطقة الرياض
103163980,1,2127535990,Issued to violator but un-paid,2026-01-27 18:02:50,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,نيسان,نافارا,الياسمين,الرياض,منطقة الرياض
102218740,2,1668057577,Issued to violator but un-paid,2026-01-27 16:55:12,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرسيدس بنز,مرسيدس بنز G-Class,الياسمين,الرياض,منطقة الرياض
102218740,8,2702332026,Issued to violator but un-paid,2026-01-27 16:52:49,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,لكزس,لكزس LX,السلي,الرياض,منطقة الرياض
102253799,9,1042573612,Issued to violator but un-paid,2026-01-27 14:57:09,,150,150,False,عدم ربط حزام,ميتسوبيشي,لانسر,الملز,الرياض,منطقة الرياض
103163980,5,1432957746,Issued to violator but un-paid,2026-01-27 14:37:56,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,تويوتا,اف جي كروزر,الروضة,الرياض,منطقة الرياض
102218740,1,1755116130,Issued to violator but un-paid,2026-01-27 14:11:26,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,راش,النرجس,الرياض,منطقة الرياض
102218740,6,1396165891,Issued to violator but un-paid,2026-01-27 13:58:38,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,فورد,إكسبلورر,الغدير,الرياض,منطقة الرياض
101571189,9,2071319469,Issued to violator but un-paid,2026-01-27 12:15:59,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,بي إم دبليو,بي إم دبليو X5,العقيق,الرياض,منطقة الرياض
102218740,4,1149305022,Issued to violator but un-paid,2026-01-27 11:53:46,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,جيب,شيروكي,السلي,الرياض,منطقة الرياض
101571189,10,1644499559,Issued to violator but un-paid,2026-01-27 11:26:23,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرسيدس بنز,مرسيدس بنز G-Class,الياسمين,الرياض,منطقة الرياض
102218740,3,2672017964,Issued to violator but un-paid,2026-01-27 11:12:30,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرسيدس بنز,مرسيدس بنز E-Class,الروضة,الرياض,منطقة الرياض
102253799,8,1932591391,Issued to violator but un-paid,2026-01-27 09:30:28,,150,150,False,عدم ربط حزام,هيونداي,سوناتا,النسيم,الرياض,منطقة الرياض
102218740,3,2474917375,Issued to violator but un-paid,2026-01-27 08:56:31,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,كيا,سيراتو,الملقا,الرياض,منطقة الرياض
102253799,4,2101605061,Issued to violator but un-paid,2026-01-27 06:38:29,,150,150,False,عدم ربط حزام,جيب,رانجلر,الملز,الرياض,منطقة الرياض
103163980,7,1811133552,Issued to violator but un-paid,2026-01-27 06:37:21,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,ميتسوبيشي,لانسر,الروضة,الرياض,منطقة الرياض
102218740,5,2542341810,Issued to violator but un-paid,2026-01-27 05:11:42,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,هوندا,هوندا CR-V,الروضة,الرياض,منطقة الرياض
103163980,10,1301178811,Issued to violator but un-paid,2026-01-27 04:56:26,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,تويوتا,كامري,الغدير,الرياض,منطقة الرياض
101571189,1,1801081711,Issued to violator but un-paid,2026-01-27 04:20:32,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,كيا,كارينز,الياسمين,الرياض,منطقة الرياض
100925051,1,1987520209,Issued to violator but un-paid,2026-01-27 03:31:50,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,فورد,إكسبلورر,النرجس,الرياض,منطقة الرياض
101571189,8,2534959027,Issued to violator but un-paid,2026-01-27 03:30:57,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,تويوتا,كامري,العقيق,الرياض,منطقة الرياض
100925051,9,1410687609,Issued to violator but un-paid,2026-01-27 00:52:38,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرسيدس بنز,مرسيدس بنز E-Class,الغدير,الرياض,منطقة الرياض
102253799,3,1944063485,Issued to violator but un-paid,2026-01-27 00:05:39,,150,150,False,عدم ربط حزام,كيا,ريو,الروضة,الرياض,منطقة الرياض
103163980,7,1915409598,Issued to violator but un-paid,2026-01-26 23:13:58,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,جيب,شيروكي,السلي,الرياض,منطقة الرياض
102253799,2,1818561775,Issued to violator but un-paid,2026-01-26 23:11:46,,150,150,False,عدم ربط حزام,هيونداي,توسان,السلي,الرياض,منطقة الرياض
102218740,8,1291501819,Issued to violator but un-paid,2026-01-26 22:57:58,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرسيدس بنز,مرسيدس بنز E-Class,الغدير,الرياض,منطقة الرياض
101571189,5,2238711823,Issued to violator but un-paid,2026-01-26 22:22:34,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,تويوتا,كامري,العقيق,الرياض,منطقة الرياض
101571189,8,2708203741,Issued to violator but un-paid,2026-01-26 22:17:50,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,كيا,كارينز,الروضة,الرياض,منطقة الرياض
103163980,3,2280783454,Issued to violator but un-paid,2026-01-26 19:52:22,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,هيونداي,سوناتا,العقيق,الرياض,منطقة الرياض
100925051,5,2026593858,Issued to violator but un-paid,2026-01-26 17:45:22,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مازدا,مازدا 3,النسيم,الرياض,منطقة الرياض
102218740,5,1432957746,Issued to violator but un-paid,2026-01-26 16:21:08,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,اف جي كروزر,الروضة,الرياض,منطقة الرياض
102218740,6,2305451838,Issued to violator but un-paid,2026-01-26 16:04:20,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,بي إم دبليو,بي إم دبليو X5,النسيم,الرياض,منطقة الرياض
102218740,4,2577075121,Issued to violator but un-paid,2026-01-26 16:03:15,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,كيا,سبورتاج,النرجس,الرياض,منطقة الرياض
102218740,8,2107038164,Issued to violator but un-paid,2026-01-26 15:44:38,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,بي إم دبليو,بي إم دبليو 3 Series,الروضة,الرياض,منطقة الرياض
102253799,6,2692508528,Issued to violator but un-paid,2026-01-26 14:59:21,,150,150,True,عدم ربط حزام,لكزس,لكزس LX,النرجس,الرياض,منطقة الرياض
100925051,3,1884279301,Issued to violator but un-paid,2026-01-26 10:49:48,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,جيب,رانجلر,العليا,الرياض,منطقة الرياض
103163980,1,1101741964,Issued to violator but un-paid,2026-01-26 10:45:18,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,هوندا,هوندا سيفيك,الغدير,الرياض,منطقة الرياض
101571189,7,1728395624,Issued to violator but un-paid,2026-01-26 10:25:08,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,هوندا,هوندا سيفيك,الملز,الرياض,منطقة الرياض
102253799,6,1767152755,Issued to violator but un-paid,2026-01-26 09:58:57,,150,150,False,عدم ربط حزام,هيونداي,كريتا,الملز,الرياض,منطقة الرياض
100925051,5,2345821874,Issued to violator but un-paid,2026-01-26 09:00:38,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,لكزس,لكزس LX,الياسمين,الرياض,منطقة الرياض
103163980,9,2655948412,Issued to violator but un-paid,2026-01-26 08:47:46,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,ميتسوبيشي,باجيرو,الملقا,الرياض,منطقة الرياض
102218740,10,1636674648,Issued to violator but un-paid,2026-01-26 05:58:38,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,شيفروليه,سبارك,الملقا,الرياض,منطقة الرياض
102253799,7,1816618516,Issued to violator but un-paid,2026-01-26 05:52:07,,150,150,True,عدم ربط حزام,جي إم سي,يوكون,العليا,الرياض,منطقة الرياض
102218740,10,2894884154,Issued to violator but un-paid,2026-01-26 05:49:52,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,كيا,كارينز,العليا,الرياض,منطقة الرياض
101571189,4,1179526174,Issued to violator but un-paid,2026-01-26 05:24:57,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,لكزس,لكزس LX,النرجس,الرياض,منطقة الرياض
103163980,2,1134974766,Issued to violator but un-paid,2026-01-26 03:58:13,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,هوندا,هوندا CR-V,السلي,الرياض,منطقة الرياض
102218740,7,2551813879,Issued to violator but un-paid,2026-01-26 02:05:33,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,نيسان,ألتيما,الغدير,الرياض,منطقة الرياض
103163980,5,1542705560,Issued to violator but un-paid,2026-01-26 01:43:48,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,بي إم دبليو,بي إم دبليو 3 Series,السلي,الرياض,منطقة الرياض
102253799,5,1149347363,Issued to violator but un-paid,2026-01-26 00:54:09,,150,150,True,عدم ربط حزام,شيفروليه,سبارك,الملز,الرياض,منطقة الرياض
102253799,9,2341388151,Issued to violator but un-paid,2026-01-26 00:37:24,,150,150,False,عدم ربط حزام,كيا,ريو,النسيم,الرياض,منطقة الرياض
101571189,1,2719511316,Issued to violator but un-paid,2026-01-25 23:44:33,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,لكزس,لكزس RX,الملقا,الرياض,منطقة الرياض
100925051,8,1693261104,Issued to violator but un-paid,2026-01-25 21:46:42,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,بي إم دبليو,بي إم دبليو X5,السلي,الرياض,منطقة الرياض
103163980,4,2414552643,Issued to violator but un-paid,2026-01-25 21:45:32,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,ميتسوبيشي,لانسر,السلي,الرياض,منطقة الرياض
100925051,8,1066000710,Issued to violator but un-paid,2026-01-25 21:01:17,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,نيسان,باترول,الروضة,الرياض,منطقة الرياض
100925051,10,2351322035,Issued to violator but un-paid,2026-01-25 20:51:25,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,بي إم دبليو,بي إم دبليو 3 Series,الياسمين,الرياض,منطقة الرياض
102253799,6,1278192183,Issued to violator but un-paid,2026-01-25 20:38:10,,150,150,False,عدم ربط حزام,هوندا,هوندا سيفيك,النرجس,الرياض,منطقة الرياض
102218740,3,2240573603,Issued to violator but un-paid,2026-01-25 17:59:15,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,شيفروليه,سبارك,الياسمين,الرياض,منطقة الرياض
100925051,7,2413220900,Issued to violator but un-paid,2026-01-25 16:55:43,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,كيا,كارينز,السلي,الرياض,منطقة الرياض
102218740,3,2771231166,Issued to violator but un-paid,2026-01-25 16:48:38,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,بي إم دبليو,بي إم دبليو 3 Series,النرجس,الرياض,منطقة الرياض
102218740,9,2242227606,Issued to violator but un-paid,2026-01-25 15:36:27,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,تويوتا,كروزر,العليا,الرياض,منطقة الرياض
101571189,8,2312664416,Issued to violator but un-paid,2026-01-25 12:59:01,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,ميتسوبيشي,باجيرو,الروضة,الرياض,منطقة الرياض
102253799,7,2661096769,Issued to violator and paid,2026-01-25 12:36:54,2026-01-28 06:37:59,150,150,False,عدم ربط حزام,نيسان,باترول,السلي,الرياض,منطقة الرياض
102218740,5,2269174172,Issued to violator but un-paid,2026-01-25 12:30:56,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,كيا,سبورتاج,الملز,الرياض,منطقة الرياض
100925051,2,2875020314,Issued to violator but un-paid,2026-01-25 12:12:12,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,جيب,رانجلر,الياسمين,الرياض,منطقة الرياض
102253799,8,2096515917,Issued to violator but un-paid,2026-01-25 10:37:47,,150,150,True,عدم ربط حزام,جي إم سي,يوكون,الروضة,الرياض,منطقة الرياض
102253799,10,2197073080,Issued to violator but un-paid,2026-01-25 10:21:28,,150,150,True,عدم ربط حزام,مازدا,مازدا 3,النسيم,الرياض,منطقة الرياض
103163980,9,1965019317,Issued to violator but un-paid,2026-01-25 10:16:54,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,فورد,رينجر,العقيق,الرياض,منطقة الرياض
101571189,2,2668920168,Issued to violator but un-paid,2026-01-25 07:18:03,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مازدا,مازدا CX-5,الروضة,الرياض,منطقة الرياض
100925051,10,1098602535,Issued to violator but un-paid,2026-01-25 06:43:10,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,شيفروليه,سبارك,الملز,الرياض,منطقة الرياض
100925051,3,2017325693,Issued to violator but un-paid,2026-01-25 05:31:42,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,فورد,إكسبلورر,الملز,الرياض,منطقة الرياض
101571189,1,2694767405,Issued to violator but un-paid,2026-01-25 05:07:35,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,تويوتا,راش,الروضة,الرياض,منطقة الرياض
103163980,2,2557995591,Issued to violator but un-paid,2026-01-25 04:40:28,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,هوندا,هوندا CR-V,الغدير,الرياض,منطقة الرياض
100925051,7,2276850208,Issued to violator but un-paid,2026-01-25 04:36:28,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,نيسان,صني,العقيق,الرياض,منطقة الرياض
